ISBN,bookTitle,bookAuthor,yearOfPublication,publisher
978-8131731864,"Wireless Communications, Principle Rapp",THEODORE S RAPPAPORT,2017,PEARSON EDUCATION ASIA
978-8131727591,Network Management – Principles Mani,MANI SUBRAMANIAN,2017,PERSON EDUCATION PUBLICATION
978-8126558230,Building the Internet of Things   Minoli,DANIEL MINOLI,2017,WILEY
978-8126516674,Security Engineering  Rose,ROSE ANDERSON,2017,WILEY
978-0262035613.,Deep Learning Ian Good,IAN GOOD FELLOW,2017,MIT PRESS
978-9352135608,Fundamentals of Deep Learning Nikhil,"""NIKHIL BUDUMA,""",2016,O’REILLY PUBLICATIONS
978-1-449-35854-9.,Elasticsearch – The Definitive  Clint,"""CLINTON GORMLEY, ZACHARY TONG, """,2015,"""O’REILLY MEDIA, INC. """
978-8184047486,Natural language processing with Python,"""BIRD, STEVEN, EWAN KLEIN""",2009,"""O'REILLY  MEDIA, INC."""
978-0124103979,Parallel Programming with OpenACC Rob,ROB FARBER,2016,"""MORGAN KAUFMANN(MK) PUBLICATION,"""
9.79E+12,Head First Java Kathy,KATHY SIERRA AND BERT BATES,2014,OREILLY PUBLICATION
978-93-86649-22-5,Research Methodology Methods Kotha,KOTHARI C.R,2017,NEW AGE INTERNATIONAL PUBLISHERS
978-8184048155,Cloud Security and Privacy: Tim,"""TIM MATHER, SUBRA KUMARASWAMY, SHAHED""",2017,O'REILLY MEDIA
978-8131718490,Network Management Concepts and Practice,""" J RICHARD BURKE,""",2017,PEARSON PUBLICATION
978-1558606715,Parallel Programming with OpenMP Rohit,ROHIT CHANDRA,2001,MORGAN KAUFMANN
978-9387432291,The Complete Reference - Java Herbert,HERBERT SCHILDT,2016,TMH PUBLICATIONS
,theory of plasticity,CHAKRABARTY,2017,ELSEVIER
978-9382332657,Highway material testing and quality,VENKATAPA RAO,2017,IK
978-81-239-2960-6,Advanced Reinforced Concrete Design,N KRISHNA RAJU,2017,CBS PUBLISHERS AND DIOSTRIBUTORS
978-8131790816,soil mechanics  and foundation enginee,RAJ,2017,PEARSON
978-8126523818,Soil mechanics in engineering practice,TERZAGHI,2017,WILEY/STAR
978-0199460915,design of steel structures,SUBRAMANIAN,2017,OXFORD
978-0074624128,Handbook of reinforced concrete design,SINHA,2017,MGH
978-8131791073,properties of concrete,NEVILLE,2017,PEARSON
978-8131707180,geotechnical earthquake engineerng,KRAMER,2017,PEARSON
978-0070701250,theory of plates and shells,TIMOSHENKO,2017,MGH
978-8121905206,theory of structure,KHURMI,2017,S. CHAND
978-8131704820,theory of vibration with applications,THOMSON,2017,PEARSON
978-8131721247,Pavement analysis and design,HUANG,2017,PEARSON
978-81-7371-922-6,Pavement evaluation an maintenance,SRINIVASA KUMAR,2017,UNIVERSITIES PRESS
978-8126530724,Principles of pavement design,YODER,2017,WILEY
978-81-7532-923-6,Principles of traffic and,GARBER,2017,PHI
978-81-203-5345-9,principles of transportation engineirng,CHAKRABORTY,2017,PHI
978-9332555150,transportation engineering and planning,PAPCOSTA,2017,PEARSON
978-81-7371-924-0,transportation engineering railways,KUMAR,2017,UNIVERSITIES PRESS
978-8126538874,Project management a systems approach,KERZNER,2017,WILEY
978-9332509368,Traffic engineering,ROESS,2017,PEARSON
978-8126522163,Advanced mechanics of materials,BORESI,2017,WILEY
978-0070139886,advanced mechanics of solids,SRINATH,2017,MCGRAW HILL
978-8126528806,Applied finite element analysis,SEGERLIND,2017,WILEY/ BSP
978-9339221072,Bridge engineering,PONNUSWAMY,2017,MCGRAW HILL
978-8120417984,design of bridges,KRISHNA RAJU N,2017,OXFORD/IBH
978-8120417175,essentials of bridge engineeirng,VICTOR,2017,OXFORD/IBH
978-8123926636,dynamics of structures,CLOUGH,2017,CBS
978-8131713297,dynamics of structures theory and,CHOPRA,2017,PEAROSN
9788120328921,earthquake resistant design of structure,AGARWAL,2017,PHI
978-0074622100,finite element analysis theory and,KRISHNAMOORTY,2017,MCGRAW HILL
978-8131724644,finite element method,ELDHO,2017,PEARSON
979004950,finite element procedures,BATHE,2017,PHI
978-0071740098,foundation engineering handbook,DAY,2017,MCGRAW HILL
978-0070601222,Fundamentals of Finite Element Analysis,DAVID V. HUTTON,2017,MCGRAW HILL
9780198069195,Getting started with Matlab 7,RUDRA PRATAP,2017,OXFORD
978-8177585636,Management research methodology,KRISHNASWAMY,2017,PEARSON
978-1107518940,Matrix analysis,HOM,2017,CAMBRIDGE
978-9384588663,the finite element method for solid and,ZIENKIEWIXZ,2017,BUTTERWORTH
9781498733403,Advanced Electromagnetic Comput Kall,KALLURI,2017,ROUTLEDGE
9780128091975,Steel corrosion-induced concrete cra Zha,ZHAO,2017,BUTTERWORTH - HEINEMANN
9781138185487,An Introduction to Sustainable Transp Sc,SCHILLER,2017,ROUTLEDGE
9781498707282,Introduction to the micromechanics   Yin,YINGTAO,2017,CRC PRESS
9780128046326,Digital terrain analysis in soil  Flo,FLORINSKY,2017,ACADEMIC PRESS
9781609010669,Digital drawing for designers Dou,DOUGLAS R. SEIDLER,2011,FAIRCHILD BOOKS
9780815351023,Defects And Deterioration Rich,RICHARDSON BARRY,2017,CRC PRESS
9781138930933,Integrating Building Performance Gran,GRANT,2017,ROUTLEDGE
9781498741217,Structural Design from First Byf,BYFIELD,2017,ROUTLEDGE
9780815378143,Bird's Comprehensive Engineering Bir,BIRD,2017,ROUTLEDGE
9781498733656,Applied Differential Equations with  Dob,DOBRUSHKIN,2017,CRC PRESS
9781138056886,Mathematical Methods for Physics Matt,MATTIAS BLENNOW,2017,CRC PRESS
9781498753098,What Every Engineer Should Know  Mad,MADACHY,2017,ROUTLEDGE
9789386648167,The DBS Handbook of Nanoelec Bak,BAKHTIYAR HUSSAIN,2017,DBS IMPRINTS
9781138034990,Control and Dynamics in Power Sy Fan,FAN,2017,CRC PRESS
9780815368199,Power Electronic Converters Iyer,IYER,2017,ROUTLEDGE
9781498777827,A Systematic Approach to Learning new,NEWMAN,2017,ROUTLEDGE
9789352691104,Electomagnetic Field Theory Jain,JAIN,2017,RANDOM PUBLICATIONS PUBLISHERS
9789350304716,Statistics : An Introduction Using R pra,PRASAD,2017,OXFORD BOOK COMPANY
9781482252842,Implementing Lean Protz,PROTZMAN,2017,CRC PRESS
9781498753821,Clustering and Routing Algorithms Kuila,KUILA,2017,ROUTLEDGE
9781635490435,"Bioenergy: Principles, Technology Ster",STERLING MACMILLAN,2017,LARSEN & KELLER
9781773613949,Biocomputation and Biomedical Ragh,RAGHAVENDER,2017,DELVE PUBLISHING
9780080967042,Project management for engineering  John,JOHN,2017,ROUTLEDGE
9781138610958,Multivariate Statistics Made Sim Sarm,SARMA,2017,CHAMPAN AND HALL
9781466588172,Statistical analysis of contingency  Sti,STIAN,2017,CRC PRESS
9781682857298,Logistics Engineering and Manag Shel,SHELLEY LYNCH,2017,WILLFORD PRESS
9781138064263,Statistical Process John,JOHN OAKLAND,2017,ROUTLEDGE
9781498748940,A practical introduction to supply David,DAVID PHEASEY,2017,CRC PRESS
9780815381037,Best Practices in Metropolitan Ewing,EWING,2017,ROUTLEDGE
9781498745673,Soft Computing in Engineering Ghab,GHABOUSSI,2017,ROUTLEDGE
9781680948226,"Theory, Practice and Techniques in",NA,2017,3G E-LEARNING
9781680948158,Grid Computing,NA,2017,3G E-LEARNING
9781680948103,COMPUTER AIDED DESIGN,NA,2017,3G E-LEARNING
9781498775984,Computational Exome and Genome Anal Ros,ROSARIO,2017,CRC PRESS
9781138626782,Introduction to Machine Learning Stamp,STAMP,2017,ROUTLEDGE
9780815382768,Software Design A Comprehensive Gui Chem,CHEMUTURI,2017,CRC PRESS
9780367026431,Applications of Differential Equation Ch,CHAU,2017,CRC PRESS
9781632407177,Nanotechnology: NanopNanostruc Hec,HECTOR LAMB,2017,CLANRYE INTERNATIONAL
9781632385895,"Aircraft Engineering: Design, StrucIan",IAN BOOTH,2017,NY RESEARCH PRESS
9789386355249,Aircraft Gas Turbine Engine Techn Agra,AGRAWAL,2017,RANDOM PUBLICATIONS PUBLISHERS & DISTRIBUTORS
9781773612348,Finite Element Method with Applic Yingx,YINGXIAO SONG,2017,ARCLER PRESS
9788184116472,"Waves, Vibrations and Electromag Balkri",BALKRISHNA,2017,SONALI PUBLICATIONS
9781498785358,Fundamentals of Rocket Propulsion Mish,MISHRA,2017,CRC PRESS
9781498746045,Advanced Flight Dynamics with Anan,ANANTHKRISHNAN,2017,CRC PRESS
9781138589605,Aircraft Electrical and Electronic Davi,DAVID WYATT,2017,ROUTLEDGE
9781641721394,Aircraft Engineering: Design casey,CASEY STOKES,2017,LARSEN & KELLER
9788126525683,Low speed wind tunnel testing,JEWEL B. BARLOW,2017,WILEY
9780081001943,Aerodynamics for Engineering Hou,HOUGHTON,2017,BUTTERWORTH - HEINEMANN
9781119233404,Flight Theory and Aerodynamics Brian,BRAIN,2017,WILEY
9781788820776,Nanotechnology: Principles and Kit,KIT COOLEY,2017,ED-TECH.PRESS
9789384229511,The DBS Handbook of Materials Scienc Muk,MUKESH KUMAR,2017,DBS IMPRINTS
9781632386977,An Introduction to Materials Science Emi,EMILIO MCMAHON,2017,NY RESEARCH PRESS
9781138673526,Electrical and Electronic Principl bird,BIRD,2017,ROUTLEDGE
9789383982400,Empowering Learners : Teacher Traine Liz,LIZ OROURKE,2017,SHREE PUBLISHERS & DISTRIBUTORS
9781498798945,Electric Power Tang,TANG,2017,CRC PRESS
9780815391814,An Introduction to Electrical Sci Way,WAYGOOD,2017,ROUTLEDGE
9781138599697,CMOS Analog Integrated Circuits Ndjo,NDJOUNTCHE,2017,CRC PRESS
9780367023348,Electrical Installation Work Scad,SCADDAN,2017,ROUTLEDGE
9788126562176,Data Structures and Algorithms Goodrich,GOODRICH,2017,WILEY
9788126562923,Data Structures and Algorithms Goodrich,GOODRICH,2017,WILEY
9788126531172,Data Structures: Abstraction Koffman,KOFFMAN,2017,WILEY
9789386052698,Building Voice-Enabled Apps Becker,BECKER,2017,WILEY
9788126556533,Data Science and Big Data Analytics EMC,EMC,2017,WILEY
9788126550906,"Big Data, Data Mining Dean",DEAN,2017,WILEY
9788126557608,Electric Vehicle Technology Larminie,LARMINIE,2017,WILEY
9789386052216,"Core and Advanced Java, Black Book",DREAMTECH PRESS,2017,WILEY
9788126512652,Signals and Systems Haykin,HAYKIN,2017,WILEY
9788126511013,Principles of Electric Machines Sen,SEN,2017,WILEY
9788126573608,Acing the GATE Electrical Engineering,CHATTERJEE,2017,WILEY
9788126551255,Wireless Sensor Networks Dargie,DARGIE,2017,WILEY
9788126533695,Protocols and Architectures for Wireless,KARL,2017,WILEY
9788126565016,Advanced Wireless Networks Glisic,GLISIC,2017,WILEY
9788126557219,Mobile Ad Hoc Networking Basagni,BASAGNI,2017,WILEY
9788126554157,Python Projects Cassell,CASSELL,2017,WILEY
9788126541249,Advanced Digital Signal Processing Apte,APTE,2017,WILEY
9788126521425,Digital Signal Processing Apte,APTE,2017,WILEY
9788126558216,Digital Disciplines Weinman,WEINMAN,2017,WILEY
9788126566549,Systems Engineering Dwivedi,DWIVEDI,2017,WILEY
9788126575251,Beginning Programming Python Mueller,MUELLER,2017,WILEY
9788126524563,Embedded Systems Peckol,PECKOL,2017,WILEY
9788177224610,Embedded / Real-Time Systems Prasad,PRASAD,2017,WILEY
9788126557356,Smart Grid: Technology Ekanayake,EKANAYAKE,2017,WILEY
9788126529346,Power Electronics and Variable Bose,BOSE,2017,WILEY
9788126527298,Electrical Transients in Power Greenwood,GREENWOOD,2017,WILEY
9788126528387,Momentum Heat and Mass Transfer Welty,WELTY,2017,WILEY
9788126578245,Heat and Mass Transfer Incropera,INCROPERA,2017,WILEY
9788126556724,Engineering Thermodynamics Moran,MORAN,2017,WILEY
9788126564743,Machining and Machine Tool Chattopadhyay,CHATTOPADHYAY,2017,WILEY
9788126509348,Convection Heat Transfer Bejan,BEJAN,2017,WILEY
9788126508082,Transport Phenomena Bird,BIRD,2017,WILEY
9788126530076,Internal Combustion Engines Ferguson,FERGUSON,2017,WILEY
9788126556212,RF and Microwave Wireless Systems Chang,CHANG,2017,WILEY
9788126528752,Electromagnetic Compatibility Paul,PAUL,2017,WILEY
9788126543939,Analog Integrated Circuit Design Caruson,CARUSONE,2017,WILEY
9788126510986,VLSI Digital Signal Processing Parhi,PARHI,2017,WILEY
9789351194187,Cloud Computing Black Book Jayaswal,JAYASWAL,2017,WILEY
9788126570881,Swift in the Cloud Williamson,WILLIAMSON,2017,WILEY
9788126559732,Machine Component Design Juvinall,JUVINALL,2017,WILEY
9788126518951,Electronic Devices and Circuits Maini,MAINI,2017,WILEY
9788126534418,Power System: Operation & Control Rao,RAO,2017,WILEY
9788126553440,Introduction to Electric Circuits Dorf,DORF,2017,WILEY
9788126557363,Smart Grid Applications Berger,BERGER,2017,WILEY
9788126541201,Beginning R Gardener,GARDENER,2017,WILEY
9788126553068,Cloud Computing Sharma,SHARMA,2017,WILEY
9788126529803,Cloud Computing Bible Sosinsky,SOSINSKY,2017,WILEY
9788126533121,Introduction to Robotics Niku,NIKU,2017,WILEY
9788126570935,Engineering Mechanics Chandra,CHANDRA,2017,WILEY
9788126563050,Machine Learning Mueller,MUELLER,2017,WILEY
9788126555925,Machine Learning in Python Bowles,BOWLES,2017,WILEY
9788126557394,Python for Data Science Mueller,MUELLER,2017,WILEY
9788126522897,Signals and Systems Krishnaveni,KRISHNAVENI,2017,WILEY
9788126553372,Machine Learning for Big Data Bell,BELL,2017,WILEY
9788126566570,Acing the GATE Electronics Maini,MAINI,2017,WILEY
9788126521517,Communication Systems Haykin,HAYKIN,2017,WILEY
9788126577156,Neoskilling for Digital transport Prasad,PRASAD,2017,WILEY
9788126541263,Process Dynamics and Control Seborg,SEBORG,2017,WILEY
9788126570331,Automation with Ansible Raheja,RAHEJA,2017,WILEY
9788126570423,Automated Data Collection with R Munzert,MUNZERT,2017,WILEY
9788126573066,Design Thinking Luchs,LUCHS,2017,WILEY
9788126562893,Biomedical Signal Analysis Rangayyan,RANGAYYAN,2017,WILEY
9788126508242,Digital Communications Haykin,HAYKIN,2017,WILEY
9788126536535,Analog & Digital Communications Haykin,HAYKIN,2017,WILEY
9788126542314,Digital Communications Systems Haykin,HAYKIN,2017,WILEY
9788126557486,Product and Process Design Seider,SEIDER,2017,WILEY
9781635492569,Sensor & Acturators Brown,BROWN,2017,L & K
9789381141892,Topology,MALIK,2017,IK
9788126574384,Discrete Mathematics,ENSLEY,2017,WILEY
9788131508688,Probablity Statistics & Practic Williams,WILLIAMS,2017,CENGAGE
9788121912464,Mathematics Statistics Gupta,GUPTA/KAPUR,2017,S CHAND
9788125930969,Mathematical Physics Gupta Bd,GUPTA BD,2017,S CHAND
9789386668004,Python Programming Micheal,MICHEAL,2017,CENGAGE
9783319949888,Machine Learning De Mello,DE MELLO,2017,SPRINGER
9789380381688,Problem Solving & Python  Kulkarni,KULKARNI,2017,YES DEE
9788131533048,Probablity & Statistics Mendenhall,MENDENHALL,2017,CENGAGE
9788131530245,Linear Algebra Poole,POOLE,2017,CENGAGE
9788131531891,Calculus Early Transcendentals Stewart,STEWART,2017,CENGAGE
9788131522820,Defferential Equations With Model Zill,ZILL,2017,CENGAGE
9781635491067,Engineering Mathematics Crawford,CRAWFORD,2017,LARSEN KELLER
9781439895474,Statistics In Engineering Metcalfe,METCALFE,2017,CRC
9781316603598,Convex Optimization Boyd,BOYD,2017,CAMBRIDGE
9788188237531,Industrial Biotechnology Thakur,THAKUR,2017,IK
9789388005036,Problem Solving & Python Progr Kulkarni,KULKARNI,2017,YESDEE
9789388004037,Strategic Management Hitt,HITT,2017,CENGAGE
9788131533086,Principles Of Macroeconomics Mankiw,MANKIW,2017,CENGAGE
9788131520321,Principles Of Management Tripathy,TRIPATHY,2017,CENGAGE
9788121932073,Retail Management Singh,SINGH,2017,S CHAND
9788131527658,Essential Of Business Analysis Camm,CAMM,2017,CENGAGE
9788131526613,Business Analytics Albright,ALBRIGHT,2017,CENGAGE
9788126574049,Esd In Silicon Integrated  Amerasekera,AMERASEKERA,2017,WILEY
9781784393908,Machine Learning With R Lantz,LANTZ,2017,PACKT
9788126573929,Rfid Systems Bolic,BOLIC,2017,WILEY INDIA
9788126573936,Wireless Sensor Networks Akyiliz,AKYILIZ,2017,WILEY INDIA
9783319618685,5g Wirless Systems Yang Yang,YANG YANG,2017,SPRINGER
9789380381282,Introduciton To Adaptive Array Mongzing,MONGZINGO,2017,YES DEE
9788126568444,The Anatomy Of The Aeroplane Stinton,STINTON,2017,WILEY
9789380578354,Aircraft Instrumentation Nagabhushan,NAGABHUSHAN,2017,IK
9781138036284,Rotor Systems Tiwari,TIWARI,2017,CRC
9789380026893,Air Breathing Engines Husain,HUSAIN,2017,IK
9789386768049,Understanding Creo Parametric Kumar,KUMAR,2017,IK
9789385909429,Understanding Aerospace Chemicl Mukunda,MUKUNDA,2017,IK
9780470065631,Gas Turbine Propulsion Systems Maclsaac,MACLSAAC,2017,WILEY
9780750686952,Aircraft Electrical & Electronic Tooley,TOOLEY,2017,ROUTLEDGE
9788126573943,Phased Array Antennas Hansen,HANSEN,2017,WILEY
9788126568482,Unmanned Aircraft Systems Austin,AUSTIN,2017,WILEY
9781107576599,Introduction To Aircraft Design Fieldin,FIELDING,2017,CAMBRIDGE
9789352533675,Mechatronics Systems Design,SHETTY,2016,CENGAGE
9788184954999,100 Great Inspiring Stories,XAVIER,2016,JAICO
9789388423205,Dare To Win,CHEGWIN,2016,JAICO
9788184954081,The Mastery Manual,ROBIN SHARMA,2016,JAICO
9788179926987,50 Magnificent Indians Of The 20th Centu,LAL,2016,JAICO
9788174785893,Nobel Laureates,SRINIVASAN,2016,SURA
9788183228053,How To Think Like Stephen Hawking,DANIEL SMITH,2016,MANJUL
9788174786319,100 Mini Sketches Of The The Great,VINITA,2016,SURA
9780141030906,Physics Of The Impossible,MICHIO KAKU,2016,PENGUIN
9788179925829,75 People Who Change The World,RIFKIN,2016,JAICO
9789385854637,Tales From The History Of Mathematics,SARAT,2016,JAICO
9789386867889,The Book Of Amazing Stories,PETTERSON,2016,JAICO
9788184957105,The Science Of Success,NAPOLEO HILL,2016,JAICO
8192395502,Mokshagundam Visveswaraiah,NARAYANARAO,2016,ANKITA
9781784398637,Advanced Machine Learning With Python,HEARTY,2016,PACKT
9780080969985,A Practical Approach To Motor Vehicle En,BONNICK,2016,ROUTLEDGE
9789386858146,Image Processing Analysis & Machine Vis,SONKA,2016,CENGAGE
9789386668431,Digital Image Processing With,SINGH,2016,CENGAGE
9789386768131,Electronic Measurement & Instrumentatio,IMAM,2016,IK
9789380578231,Lasers & Optical Instrumentation,NAGABUSAN,2016,IK
9789381141472,Biomedical Electronics & Instru Sawheny,SAWHENY,2016,IK
9789382332190,Biosensors & Bioelectronics Reddy,D REDDY,2016,IK
9789382332312,Computer Techniques And Models Uma Rao,UMA RAO,2016,IK
9789385909283,Basic Electrical Engineering Uma Rao,UMA RAO,2016,IK
9781498745369,Power Systems Handbook 4 Vol Set,DAS,2016,CRC
9781138615342,Wind Energy Nelson,NELSON,2016,CRC
9781138569522,Protective Relaying Blackburn,BLACKBURN,2016,CRC
9788131526156,Fundaemtnals Of Logic Design Roth,ROTH,2016,CENGAGE
9788131533215,Network Analysis Venkatesh,VENKATESH,2016,CENGAGE
9788131530788,Power Electronics Ambram,AMBRAM,2016,CENGAGE
9781118381359,Switching In Electrical Transmis Smeets,SMEETS,2016,WILEY
9789382332053,Analysis Design Of Foundations Saran,SWAMI SARAN,2016,IK
9789384588359,Advanced Guide To Matlab Alam,ALAM,2016,IK
9789382332657,Highway Material Testing & Quality Rao,VENKATAPPA RAO,2016,IK
9789384588328,Strength & Deformation Of Determ Kumar,KUMAR,2016,IK
9789384588748,Fine Tuning Of Road & Building Das,DAS,2016,IK
9788126574155,Introduction To Soil Mechanics Bodo,BODO,2016,WILEY BLACKWEL
9789385909092,Surveying & Levelling Vol 2 Bhavikatti,BHAVIKATTI,2016,IK
9781138106871,Concrete Buildings In Seismic Penelis,PENELIS,2016,CRC
9789385909573,Basic Structural Analysis Muthu,MUTHU,2016,IK
9789385909082,Surveying Theory & Practice Bhavikatti,BHAVIKATTI,2016,IK
9789384588618,Foundation Engineering Khitoliya,KHITOLIYA,2016,IK
9789384588670,Concrete Technology Bhavikatti,BHAVIKATTI,2016,IK
9781138893764,Highway Engineering Nikolaides,NIKOLAIDES,2016,CRC
9780849334993,Soil Sampling Prepatation Tan,TAN,2016,CRC
9789382332602,Indeterminate Structural Anlysis Muthu,MUTHU,2016,IK
9789385909801,Reliability Based Analysis & Des Devaraj,DEVARAJ V,2016,IK
9780815381501,Matrix Methods Of Structural Nagarajan,NAGARAJAN,2016,CRC
9789381141441,Manual For Detailing Of Steel Strucures,KANTHIMATHINATAHN,2016,IK
9781439886588,Advanced Energy Systems Khartchenko,KHARTCHENKO,2016,CRC
9781316509937,Fatigue Of Materials Suresh,SURESH,2016,CAMBRIDGE
9788131518298,Engineering Mechanics Harbola,HARBOLA,2016,CENGAGE
9788131520475,Design Of Fuide Thermal Systems Jonna,JONNA,2016,CENGAGE
9781138044869,Computational Methods For Heat Majumdar,MAJUMDAR,2016,CRC
9789384588106,Analysis & Design Of Machine Jadon,JADON,2016,IK
9788188237968,Bond Graph In Modeling Simu Mukherjee,MUKHERJEE,2016,IK
9789387511491,Computer Graphics With Open Gl Raikar,RAIKAR,2016,CENGAGE
9788131518281,Mechatronics Systems Design Shetty,SHETTY,2016,CENGAGE
9789385909337,Pneumatic & Hydraulic Systems Singh,SINGH,2016,IK
9789385909269,Working With Ansys Zindani,ZINDANI,2016,IK
9788121928595,A Textbook Of Mechatronics Rajput,RAJPUT,2017,S CHAND
9788121901314,Highway Engineering Sharma,SHARMA,2017,S CHAND
9788131517307,Finite Element Analysis Logan,LOGAN,2017,CENGAGE
9788126552313,Deformation & Fracture Mechani Hertzber,HERTZBERG,2017,WILEY
9789388005029,Strength Of Materials Vol 1 Binu Kumar,BINU KUMAR,2017,YES DEE
9788126535576,Beginning Android 4 Application Dev Lee,LEE,2017,WROX
9789380381497,Jet Engines Jaganathan,JAGANATHAN,2017,YES DEE
9789386768032,Engineering Chemistry Savita Garg,SAVITA GARG,2017,IK
9789386668516,Finite Automata & Formal Languages Redd,REDDY,2017,CENGAGE
9789380381305,Microwave & Rf Design Steer,STEER,2017,YES DEE
9788177584011,Radio Frequency & Microwave Radmanesh,RADMANESH,2017,PEARSON
978938031503,Higher Engineering Mathematics Veeraraja,VEERARAJAN,2017,YES DEE
9789386650375,Digital Systems Design Using Verilog Rot,ROTH,2017,CENGAGE
9789387994232,Principles Of Information Security Whitm,WHITMAN,2017,CENGAGE
9789351449652,Objective Mechanical Engineering Mithal,MITHAL,2017,GK
9788131510995,Artificial Intelligence Kaushik,KAUSHIK,2017,CENGAGE
9789353500504,Technical Communicaton Chauhan,CHAUHAN,2017,CENGAGE
9789380026671,Vlsi Design Lal Kishore,LAL KISHORE,2017,IK
9788190656603,Engineering Maths Vol 2 Shankar Rao,SHANKAR RAO,2017,IK
9789380026404,Operations Research Veerachamy,VEERACHAMY,2017,IK
9789325982390,Research Methodology Chawla,CHAWLA,2017,VIKAS
9789380381718,Compiler Design Winster,WINSTER,2017,YES DEE
9788126512904,Web Programing Bates,BATES,2017,WILEY
9788131524732,Environmental Science Miller,MILLER,2017,CENGAGE
9789381141878,Advanced Mathematics Vol 2 Mujawar,MUJAWAR,2017,IK
9789381141366,Engineering Mathematics Vol 3 Mujawar,MUJAWAR,2017,IK
9789381141687,Engineering Mathematics Vol 4 Mujawar,MUJAWAR,2017,IK
B00LCH0LOU,Gruha Banga,SL BYRAPPA,2015,SAHITYA BANDARA
B00ERY82DM,Kavalu,SL BYRAPPA,2015,SAHITYA BANDARA
B00KCLEI0U,Mathadana,SL BYRAPPA,2015,SAHITYA BANDARA
B00LCH0NFW,Grahana,SL BYRAPPA,2015,SAHITYA BANDARA
9789351865636,Sakshi,SL BYRAPPA,2015,SAHITYA BANDARA
198098650,Sartha,SL BYRAPPA,2015,SAHITYA BANDARA
817201659X,Parva,SL BYRAPPA,2015,SAHITYA BANDARA
B00M4PNLN2,Bhitti,SL BYRAPPA,2015,SAHITYA BANDARA
B00M4PNLN5,Tabbaliyu Ninade Magane,SL BYRAPPA,2015,SAHITYA BANDARA
